INFO 2025-05-16 08:45:26,515 autoreload 14728 11236 Watching for file changes with StatReloader
WARNING 2025-05-16 08:51:19,040 log 14728 38396 Forbidden: /limpiar-horarios/
WARNING 2025-05-16 08:51:19,061 basehttp 14728 38396 "POST /limpiar-horarios/ HTTP/1.1" 403 44
INFO 2025-05-16 08:51:19,380 basehttp 14728 31124 "GET /obtener-asignaturas-por-semestre/ HTTP/1.1" 200 136
INFO 2025-05-16 08:51:19,392 basehttp 14728 32228 "GET /mis-asesorias/ HTTP/1.1" 200 6574
INFO 2025-05-16 08:51:21,413 basehttp 14728 32228 "GET /obtener-docentes-por-asignatura/4/ HTTP/1.1" 200 272
INFO 2025-05-16 08:51:23,756 basehttp 14728 32228 "GET /obtener-horarios-disponibles/3/ HTTP/1.1" 200 7665
INFO 2025-05-16 08:51:43,320 basehttp 14728 9988 "OPTIONS /solicitar-asesoria/ HTTP/1.1" 200 0
INFO 2025-05-16 08:51:46,420 basehttp 14728 32228 "POST /solicitar-asesoria/ HTTP/1.1" 200 88
INFO 2025-05-16 08:51:50,215 basehttp 14728 32228 "GET /mis-asesorias/ HTTP/1.1" 200 7454
INFO 2025-05-16 08:52:00,085 basehttp 14728 32228 "GET /obtener-asignaturas-por-semestre/ HTTP/1.1" 200 136
INFO 2025-05-16 08:52:06,722 basehttp 14728 40640 "OPTIONS /obtener-asignaturas-docente/ HTTP/1.1" 200 0
INFO 2025-05-16 08:52:06,869 basehttp 14728 16464 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:52:06,890 basehttp 14728 21412 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:52:06,924 basehttp 14728 6048 "GET /obtener-asignaturas-docente/ HTTP/1.1" 200 458
INFO 2025-05-16 08:52:07,055 basehttp 14728 16464 "GET /obtener-asignaturas-docente/ HTTP/1.1" 200 458
INFO 2025-05-16 08:52:07,797 basehttp 14728 40640 "OPTIONS /obtener-horarios/ HTTP/1.1" 200 0
INFO 2025-05-16 08:52:07,990 basehttp 14728 35268 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:52:07,990 basehttp 14728 16464 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:52:08,021 basehttp 14728 34084 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:52:08,086 basehttp 14728 21412 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:52:08,124 basehttp 14728 6048 "GET /obtener-horarios/ HTTP/1.1" 200 7247
INFO 2025-05-16 08:52:08,263 basehttp 14728 6048 "GET /obtener-horarios/ HTTP/1.1" 200 7247
INFO 2025-05-16 08:52:09,020 basehttp 14728 6048 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:52:09,121 basehttp 14728 6048 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:52:14,730 basehttp 14728 6048 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:52:14,787 basehttp 14728 35268 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:52:14,793 basehttp 14728 16464 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:52:14,848 basehttp 14728 34084 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:52:14,919 basehttp 14728 21412 "GET /obtener-horarios/ HTTP/1.1" 200 7247
INFO 2025-05-16 08:52:15,062 basehttp 14728 6048 "GET /obtener-horarios/ HTTP/1.1" 200 7247
INFO 2025-05-16 08:54:51,697 basehttp 14728 27104 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 08:59:56,530 basehttp 14728 44936 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 09:04:57,057 basehttp 14728 21140 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
